seed,method,clear_valid,clear_reason,dynamic_valid,dynamic_reason,clear_exact_replans,dynamic_exact_replans
6,gng,True,path_ready_exact_validated_preview_only,False,target_intersection_blocked_or_disconnected,0,0
9,gng,True,path_ready_exact_validated_preview_only,False,target_intersection_blocked_or_disconnected,0,0
16,gng,True,path_ready_exact_validated_preview_only,False,target_intersection_blocked_or_disconnected,0,0
18,gng,True,path_ready_exact_validated_preview_only,False,target_intersection_blocked_or_disconnected,0,0
35,gng,True,path_ready_exact_validated_preview_only,False,target_intersection_blocked_or_disconnected,0,0
37,gng,True,path_ready_exact_validated_preview_only,False,target_intersection_exact_blocked_or_disconnected,0,1
44,gng,True,path_ready_exact_validated_preview_only,False,target_intersection_blocked_or_disconnected,0,0
47,gng,True,path_ready_exact_validated_preview_only,False,target_intersection_blocked_or_disconnected,0,0
