seed,components_paired_difference,edges_paired_difference,build_time_ms_paired_difference,clear_planning_time_ms_paired_difference,clear_exact_checks_paired_difference,clear_exact_time_ms_paired_difference,clear_path_nodes_paired_difference,dynamic_planning_time_ms_paired_difference,dynamic_exact_checks_paired_difference,dynamic_exact_time_ms_paired_difference,dynamic_path_nodes_paired_difference
0,13,1288,-282.99948799999993,-0.493344,-17,-0.33734399999999987,0,-6.378720000000001,48.0,0.9504959999999976,1.0
1,8,1286,-293.589888,0.4818880000000001,-32,0.29644800000000027,0,4.439584,27.0,2.9477760000000006,-2.0
2,9,1271,-297.0967039999998,-0.7779840000000005,-6,0.24876800000000054,-1,6.742335999999998,131.0,6.316608000000008,3.0
3,10,1288,-337.33683199999996,-0.7548159999999999,-11,-0.1617919999999997,-1,3.331327999999999,74.0,2.592287999999998,0.0
4,5,1262,-299.369696,-0.06105600000000022,15,0.3834879999999996,0,-5.003903999999999,59.0,0.39084800000000053,-1.0
5,10,1176,-214.19071999999983,-1.090592,-62,-1.096191999999999,-2,25.216224000000004,36.0,13.059103999999998,0.0
6,8,1353,-317.8043519999999,0.234464,8,0.456831999999999,0,,,,
7,13,1242,-299.24080000000004,1.0608,42,1.1426879999999995,0,-4.605824,-105.0,-2.2331519999999956,-3.0
8,6,1321,-227.9224959999999,0.5686400000000003,-5,0.42150400000000077,0,3.9856000000000016,82.0,4.292256,1.0
9,3,1199,-228.4008960000001,-0.3395199999999998,-16,-0.1736959999999994,0,,,,
10,7,1247,-360.05152,-0.08556799999999987,-24,-0.27792000000000083,-1,3.666751999999999,1.0,2.050016000000003,-2.0
11,11,1204,-417.173088,-2.3735679999999997,-31,-1.4025919999999998,-1,-15.208223999999998,-12.0,-0.9703039999999916,-1.0
12,8,1332,-356.18905599999994,-0.2356799999999999,35,0.6839360000000012,2,2.1051839999999995,167.0,3.7992000000000035,-3.0
13,11,1268,-350.65180799999985,3.058144,6,2.6418879999999985,0,6.144447999999997,32.0,3.8178239999999954,-1.0
14,12,1286,-314.7137600000001,0.2095360000000004,20,0.4178560000000002,0,1.6707199999999993,-39.0,-0.47017599999999504,-3.0
15,15,1289,-169.03657599999997,1.9627199999999996,39,1.487456,-1,-7.3093759999999985,-112.0,-3.6202559999999964,-3.0
16,14,1319,-321.15904,-0.22870400000000002,-39,-0.22387199999999896,0,,,,
17,13,1305,-320.14070400000014,0.206048,20,0.6963839999999997,0,-11.038719999999998,73.0,-1.1085440000000029,2.0
18,9,1265,-347.48208,-0.12508799999999987,0,0.2023999999999997,0,,,,
19,16,1271,-347.574304,-0.6885120000000002,-4,-0.2711359999999996,0,-5.5087360000000025,7.0,1.5864960000000012,-2.0
20,12,1389,-362.23219199999994,0.024831999999999965,-24,0.07907200000000048,-1,4.617216000000001,74.0,4.182720000000002,3.0
21,11,1212,-336.5821440000002,-0.29379199999999983,9,0.1655040000000001,1,1.246944000000001,6.0,0.1491519999999973,-1.0
22,10,1201,-312.29465600000003,1.1966720000000004,-27,0.8108480000000011,0,9.87648,62.0,6.155680000000013,1.0
23,8,1220,-307.8189439999999,0.626528,32,0.9730559999999997,0,-7.207168000000003,36.0,0.5760319999999997,0.0
24,9,1335,-348.1451519999998,0.7212159999999996,-40,0.5494400000000002,0,10.264128,-9.0,4.661727999999985,-2.0
25,10,1331,-337.1864640000001,2.868032,21,2.420512,1,13.690848000000003,-12.0,11.233087999999992,0.0
26,9,1175,-309.6228800000001,1.0261759999999995,10,0.9665280000000009,0,9.426687999999999,18.0,6.907520000000003,-1.0
27,18,1240,-263.43056,-0.017727999999999966,7,0.15622400000000014,-1,53.306495999999996,572.0,41.64592000000003,2.0
28,11,1235,-277.3055999999999,1.817984,-16,0.9816639999999985,0,1.7259199999999986,120.0,5.984320000000006,2.0
29,9,1304,-362.787008,-0.736256,-13,-0.4067839999999996,-1,8.816959999999998,250.0,14.535775999999998,0.0
30,4,1252,-349.10655999999994,0.21107200000000015,-12,0.23539200000000138,0,-16.249952,131.0,0.6709120000000013,0.0
31,15,1296,-306.8260480000001,-1.437888,-36,-0.5983679999999996,0,-0.5459199999999989,3.0,2.409823999999996,-1.0
32,15,1289,-291.170112,-0.37683199999999983,-26,-0.18278400000000028,0,3.031552000000005,50.0,5.116319999999996,0.0
33,10,1357,-290.77024000000006,-0.740224,-37,-0.6473919999999991,-1,-9.749568,-210.0,-5.158431999999996,-1.0
34,8,1210,-279.24736000000007,2.0255360000000002,14,1.8070720000000011,0,12.402175999999997,98.0,11.096415999999994,2.0
35,12,1350,-326.280704,-1.1911680000000002,-61,-1.2384,-2,,,,
36,7,1262,-286.80905600000006,1.3950400000000003,43,1.5685440000000002,0,6.70992,69.0,4.404256000000005,3.0
37,11,1253,-327.9687680000002,0.6894720000000003,9,0.5248320000000002,0,,,,
38,15,1332,-354.2441920000001,0.793088,28,0.9627839999999999,1,13.152351999999997,18.0,5.753568,-1.0
39,8,1233,-311.3213759999999,-0.13039999999999985,-10,-0.10255999999999998,0,-0.04492800000000052,25.0,0.858944000000001,0.0
40,5,1356,-222.76880000000006,-1.020928,-3,-0.4643519999999999,0,-3.1859840000000013,1.0,-0.32585599999999815,-2.0
41,11,1255,-289.2689599999999,0.4220480000000002,12,0.7627200000000014,0,-13.546848,-14.0,-4.335871999999998,-1.0
42,12,1246,-329.344736,-0.27388800000000035,-20,-0.09315200000000012,0,8.022783999999998,80.0,8.393312000000003,1.0
43,10,1264,-324.31779200000005,0.32428800000000013,-5,0.3750400000000007,1,-8.461472,54.0,-0.6557440000000003,0.0
44,6,1239,-318.84777600000007,0.8479679999999998,35,1.081024,0,,,,
45,11,1351,-348.42310399999997,0.9184320000000001,-31,0.7756800000000004,0,13.483232000000001,-11.0,1.818495999999998,-3.0
46,13,1248,-287.49974399999996,0.16012799999999983,5,0.17785599999999957,0,-5.250624000000002,-21.0,-0.8403520000000002,-3.0
47,10,1389,-343.59308799999985,-1.8153599999999996,23,-0.9429119999999971,0,,,,
48,7,1255,-302.27452800000015,-0.771328,4,0.01206400000000074,0,11.861183999999998,-11.0,3.575424000000001,-2.0
49,8,1258,-300.623104,-0.6906240000000001,-30,-0.48511999999999955,0,1.9453439999999986,-13.0,0.4749440000000016,1.0
