x_mm,y_mm,z_mm,position_found,pose_found,best_position_error_mm,rcond,joint_margin_deg,orientation_error_deg,position_error_mm,status,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,target_roll_deg,target_pitch_deg,target_yaw_deg
-450,-150.00000000000003,-100,0,0,132.98115424125697,,,,,position_unresolved,,,,,,,0,0,-161.56505117707798
-450,-150.00000000000003,-50,0,0,116.35219522536805,,,,,position_unresolved,,,,,,,0,0,-161.56505117707798
-450,-150.00000000000003,0,0,0,104.23353077108979,,,,,position_unresolved,,,,,,,0,0,-161.56505117707798
-450,-150.00000000000003,50,0,0,96.961320188393529,,,,,position_unresolved,,,,,,,0,0,-161.56505117707798
-450,-150.00000000000003,100,0,0,94.753280997668526,,,,,position_unresolved,,,,,,,0,0,-161.56505117707798
-450,-100,-150.00000000000003,0,0,142.20862970164913,,,,,position_unresolved,,,,,,,0,0,-167.47119229084848
-450,-100,-100,0,0,120.91429946818239,,,,,position_unresolved,,,,,,,0,0,-167.47119229084848
-450,-100,-50,0,0,103.8800359683142,,,,,position_unresolved,,,,,,,0,0,-167.47119229084848
-450,-100,0,0,0,91.448183746192527,,,,,position_unresolved,,,,,,,0,0,-167.47119229084848
-450,-100,50,0,0,83.980262747832413,,,,,position_unresolved,,,,,,,0,0,-167.47119229084848
-450,-100,100,0,0,81.711592834362307,,,,,position_unresolved,,,,,,,0,0,-167.47119229084848
-450,-100,150.00000000000003,0,0,84.716564773605441,,,,,position_unresolved,,,,,,,0,0,-167.47119229084848
-450,-50,-150.00000000000003,0,0,135.22418530182497,,,,,position_unresolved,,,,,,,0,0,-173.65980825409011
-450,-50,-100,0,0,113.53567762845071,,,,,position_unresolved,,,,,,,0,0,-173.65980825409011
-450,-50,-50,0,0,96.24352227607902,,,,,position_unresolved,,,,,,,0,0,-173.65980825409011
-450,-50,0,0,0,83.611683379159899,,,,,position_unresolved,,,,,,,0,0,-173.65980825409011
-450,-50,50,0,0,76.018468585558111,,,,,position_unresolved,,,,,,,0,0,-173.65980825409011
-450,-50,100,0,0,73.71093165536783,,,,,position_unresolved,,,,,,,0,0,-173.65980825409011
-450,-50,150.00000000000003,0,0,76.767303260926866,,,,,position_unresolved,,,,,,,0,0,-173.65980825409011
-450,0,-150.00000000000003,0,0,132.87573150928915,,,,,position_unresolved,,,,,,,0,0,180
-450,0,-100,0,0,111.05203913538679,,,,,position_unresolved,,,,,,,0,0,180
-450,0,-50,0,0,93.671280354014726,,,,,position_unresolved,,,,,,,0,0,180
-450,0,0,0,0,80.970602898104161,,,,,position_unresolved,,,,,,,0,0,180
-450,0,50,0,0,73.334200764923125,,,,,position_unresolved,,,,,,,0,0,180
-450,0,100,0,0,71.013257385542943,,,,,position_unresolved,,,,,,,0,0,180
-450,0,150.00000000000003,0,0,74.087357385685067,,,,,position_unresolved,,,,,,,0,0,180
-450,50,-150.00000000000003,0,0,135.22413704235274,,,,,position_unresolved,,,,,,,0,0,173.65980825409011
-450,50,-100,0,0,113.53567762845073,,,,,position_unresolved,,,,,,,0,0,173.65980825409011
-450,50,-50,0,0,96.243522276079034,,,,,position_unresolved,,,,,,,0,0,173.65980825409011
-450,50,0,0,0,83.611683379159885,,,,,position_unresolved,,,,,,,0,0,173.65980825409011
-450,50,50,0,0,76.018468585558125,,,,,position_unresolved,,,,,,,0,0,173.65980825409011
-450,50,100,0,0,73.71093165536783,,,,,position_unresolved,,,,,,,0,0,173.65980825409011
-450,50,150.00000000000003,0,0,76.76730326092688,,,,,position_unresolved,,,,,,,0,0,173.65980825409011
-450,100,-150.00000000000003,0,0,142.20239635285924,,,,,position_unresolved,,,,,,,0,0,167.47119229084848
-450,100,-100,0,0,120.91429946818239,,,,,position_unresolved,,,,,,,0,0,167.47119229084848
-450,100,-50,0,0,103.8800359683142,,,,,position_unresolved,,,,,,,0,0,167.47119229084848
-450,100,0,0,0,91.448183746192512,,,,,position_unresolved,,,,,,,0,0,167.47119229084848
-450,100,50,0,0,83.980262747832441,,,,,position_unresolved,,,,,,,0,0,167.47119229084848
-450,100,100,0,0,81.711592834362321,,,,,position_unresolved,,,,,,,0,0,167.47119229084848
-450,100,150.00000000000003,0,0,84.716564773605441,,,,,position_unresolved,,,,,,,0,0,167.47119229084848
-450,150.00000000000003,-100,0,0,132.98115424125697,,,,,position_unresolved,,,,,,,0,0,161.56505117707798
-450,150.00000000000003,-50,0,0,116.35219522536804,,,,,position_unresolved,,,,,,,0,0,161.56505117707798
-450,150.00000000000003,0,0,0,104.23353077108979,,,,,position_unresolved,,,,,,,0,0,161.56505117707798
-450,150.00000000000003,50,0,0,96.961320188393572,,,,,position_unresolved,,,,,,,0,0,161.56505117707798
-450,150.00000000000003,100,0,0,94.75328099766854,,,,,position_unresolved,,,,,,,0,0,161.56505117707798
-400,-250,-100,0,0,129.43851702194371,,,,,position_unresolved,,,,,,,0,0,-147.99461679191648
-400,-250,-50,0,0,112.69261459743473,,,,,position_unresolved,,,,,,,0,0,-147.99461679191648
-400,-250,0,0,0,100.48372302651073,,,,,position_unresolved,,,,,,,0,0,-147.99461679191648
-400,-250,50,0,0,93.155192061388448,,,,,position_unresolved,,,,,,,0,0,-147.99461679191648
-400,-250,100,0,0,90.929714792520286,,,,,position_unresolved,,,,,,,0,0,-147.99461679191648
-400,-200,-200,0,0,155.84627993311986,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-200,-150.00000000000003,0,0,129.26481426870413,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-200,-100,0,0,107.35353916672445,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-200,-50,0,0,89.839110306139688,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-200,0,0,0,77.034453859969545,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-200,50,0,0,69.332760076881712,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-200,100,0,0,66.9915392231607,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-200,150.00000000000003,0,0,70.092452768422532,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-200,200,0,0,78.527688214443813,,,,,position_unresolved,,,,,,,0,0,-153.43494882292202
-400,-150.00000000000003,-200,0,0,140.2486943966384,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-150.00000000000003,-150.00000000000003,0,0,112.30821871489094,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-150.00000000000003,-100,0,0,89.475025365522967,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-150.00000000000003,-50,0,0,71.283733220194506,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-150.00000000000003,0,0,0,57.950164272160535,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-150.00000000000003,50,0,0,49.91524128793727,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-150.00000000000003,100,0,0,47.470352475512243,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-150.00000000000003,150.00000000000003,0,0,50.708331368109889,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-150.00000000000003,200,0,0,59.50665921826279,,,,,position_unresolved,,,,,,,0,0,-159.44395478041653
-400,-100,-250,0,0,161.34898119346539,,,,,position_unresolved,,,,,,,0,0,-165.96375653207352
-400,-100,-200,0,0,128.92897527074371,,,,,position_unresolved,,,,,,,0,0,-165.96375653207352
-400,-100,-150.00000000000003,0,0,99.917733730194328,,,,,position_unresolved,,,,,,,0,0,-165.96375653207352
-400,-100,-100,0,0,76.286047298654054,,,,,position_unresolved,,,,,,,0,0,-165.96375653207352
