method,metric,unit,estimate,numerator_or_sum,eligible_or_count,ci_level,ci_lower,ci_upper,raw_n,raw_mean,raw_sd,raw_median,raw_q1,raw_q3,raw_min,raw_max
gng,clear_success,proportion,0.5,18.0,36,0.95,0.3888888888888889,0.6111111111111112,36,0.5,0.50709255283711,0.5,0.0,1.0,0.0,1.0
gng,dynamic_success,proportion,0.4722222222222222,17.0,36,0.95,0.3611111111111111,0.5833333333333334,36,0.4722222222222222,0.506309397848002,0.0,0.0,1.0,0.0,1.0
gng,conditional_retention,proportion,0.9444444444444444,17.0,18,0.95,0.85,1.0,18,0.9444444444444444,0.23570226039551584,1.0,1.0,1.0,0.0,1.0
gng,path_change_joint_success,proportion,0.6470588235294118,11.0,17,0.95,0.3744485294117648,0.9098011363636365,17,0.6470588235294118,0.492592183071889,1.0,0.0,1.0,0.0,1.0
gng,build_time_ms,ms,1713.4319413333333,10280.591648,6,0.95,1693.0218162666665,1731.519356666667,6,1713.4319413333333,24.024088120242073,1711.725248,1708.5758480000002,1722.1204160000002,1675.20736,1748.822272
gng,planning_time_clear_ms,ms,3.6463928888888884,131.270144,36,0.95,3.1043876666666668,4.2179821111111115,36,3.6463928888888884,1.8673762057573382,3.719376,1.76268,5.6628,1.47408,6.372672
gng,planning_time_dynamic_ms,ms,13.035526222222224,469.278944,36,0.95,12.756200311111112,13.394215622222223,36,13.035526222222224,6.543879856321391,12.484928,7.786592000000001,17.16424,4.128736,27.312448
gng,path_cost_clear,joint-space cost,11.3091461752799,203.5646311550382,18,0.95,9.99202429037436,12.399930314346175,18,11.3091461752799,2.169963004004944,10.973504153193547,10.413679659276509,12.368020405192057,8.137057826693148,14.607599373130135
gng,path_cost_dynamic,joint-space cost,12.325088196174,209.526499334958,17,0.95,10.462655498163988,13.80205001064428,17,12.325088196173999,2.57033421099842,12.368020405192057,11.251565944934041,14.743570042272419,8.137057826693148,15.359376211725564
guarded_gng,clear_success,proportion,0.7222222222222222,26.0,36,0.95,0.5555555555555556,0.8888888888888888,36,0.7222222222222222,0.45425676257949793,1.0,0.0,1.0,0.0,1.0
guarded_gng,dynamic_success,proportion,0.7222222222222222,26.0,36,0.95,0.5541666666666669,0.8888888888888888,36,0.7222222222222222,0.45425676257949793,1.0,0.0,1.0,0.0,1.0
guarded_gng,conditional_retention,proportion,1.0,26.0,26,0.95,1.0,1.0,26,1.0,0.0,1.0,1.0,1.0,1.0,1.0
guarded_gng,path_change_joint_success,proportion,0.34615384615384615,9.0,26,0.95,0.2222222222222222,0.43333333333333335,26,0.34615384615384615,0.485164524037584,0.0,0.0,1.0,0.0,1.0
guarded_gng,build_time_ms,ms,1607.3215413333335,9643.929248,6,0.95,1571.5713917333337,1669.8968252,6,1607.3215413333335,76.16577213004072,1574.0496640000001,1572.095864,1589.1445919999999,1568.477632,1761.731456
guarded_gng,planning_time_clear_ms,ms,6.488025777777779,233.56892800000003,36,0.95,5.0905734,7.886410266666669,36,6.488025777777778,3.9418261742526477,6.147184,2.253096,8.972768,1.291232,16.556768
guarded_gng,planning_time_dynamic_ms,ms,13.610002666666666,489.960096,36,0.95,11.804147577777778,14.870650355555556,36,13.610002666666666,6.051693086379088,13.754256,9.030071999999999,18.387192,2.654208,26.548224
guarded_gng,path_cost_clear,joint-space cost,16.63538040444521,432.5198905155755,26,0.95,15.46418501373764,17.424350180033557,26,16.63538040444521,3.971993579449452,16.696728275408276,14.078874532723281,18.378929251361978,11.417361947036973,26.161483606350377
guarded_gng,path_cost_dynamic,joint-space cost,16.979478871627173,441.46645066230644,26,0.95,15.65594328255772,18.065559183672697,26,16.979478871627173,4.137975667550946,16.719317408651076,14.078874532723281,18.378929251361978,11.417361947036973,27.761477981678436
halton_prm,clear_success,proportion,0.7777777777777778,28.0,36,0.95,0.6666666666666666,0.8888888888888888,36,0.7777777777777778,0.4216370213557839,1.0,1.0,1.0,0.0,1.0
halton_prm,dynamic_success,proportion,0.7777777777777778,28.0,36,0.95,0.6666666666666666,0.8888888888888888,36,0.7777777777777778,0.4216370213557839,1.0,1.0,1.0,0.0,1.0
halton_prm,conditional_retention,proportion,1.0,28.0,28,0.95,1.0,1.0,28,1.0,0.0,1.0,1.0,1.0,1.0,1.0
halton_prm,path_change_joint_success,proportion,0.2857142857142857,8.0,28,0.95,0.14285714285714285,0.4286904761904762,28,0.2857142857142857,0.46004370622823615,0.0,0.0,1.0,0.0,1.0
halton_prm,build_time_ms,ms,1407.2768586666668,8443.661152,6,0.95,1369.8507186666668,1467.5667076000002,6,1407.2768586666668,75.56000992621145,1382.796464,1368.047688,1393.1055999999999,1359.371424,1559.023392
halton_prm,planning_time_clear_ms,ms,5.656241777777778,203.624704,36,0.95,4.764575377777779,6.5942240000000005,36,5.656241777777778,2.525845436434588,6.182304,5.062376,6.88404,1.387264,11.205536
halton_prm,planning_time_dynamic_ms,ms,12.213705777777777,439.693408,36,0.95,11.136868444444444,13.376264955555556,36,12.213705777777779,5.971363893327301,10.981328000000001,7.837408,15.546104,2.939072,24.115776
halton_prm,path_cost_clear,joint-space cost,16.062935258414694,449.7621872356114,28,0.95,14.574387779037755,17.60419370885314,28,16.062935258414694,3.5014191707126736,15.14484014828293,14.171720712597821,17.53014666432182,11.598853906092671,24.385990385498783
halton_prm,path_cost_dynamic,joint-space cost,16.616007818488534,465.2482189176789,28,0.95,14.84234583492398,18.390823801216868,28,16.616007818488534,3.7136369076099167,16.243383619552695,14.283125563786598,18.103969391018882,11.598853906092671,25.581390583465087
