run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,reported_method,graph_revision,expanded_urdf_sha256,srdf_sha256,reachability_parameters_sha256,requested_node_count,anchor_node_count,prototype_budget,prototype_node_count,requested_guard_node_count,guard_node_count,fill_sample_node_count,candidate_attempts,halton_start_index,sample_stream_seed,sample_stream_type,gng_training_sample_count,effective_guard_fraction,nodes,edges,components,build_time_ms,joint_names,graph_publisher_count,plan_publisher_count,query_subscriber_count,catalog_id,catalog_sha256,rmw_implementation,ros_localhost_only,launch_log,infrastructure_error
65,21,121,gng,2,85,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4142,17,121,digit_permuted_halton,4000,0.0,800,4601,1,1827.319872,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0065_stream_121_gng_domain_85.log,
66,22,122,halton_prm,0,86,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,824,17,122,digit_permuted_halton,0,0.0,800,3272,13,1399.764256,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0066_stream_122_halton_prm_domain_86.log,
67,22,122,gng,1,87,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4130,17,122,digit_permuted_halton,4000,0.0,800,4495,2,1704.082592,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0067_stream_122_gng_domain_87.log,
68,22,122,guarded_gng,2,88,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4130,17,122,digit_permuted_halton,4000,0.75,800,3541,17,1589.600288,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0068_stream_122_guarded_gng_domain_88.log,
69,23,123,halton_prm,0,89,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,826,17,123,digit_permuted_halton,0,0.0,800,3272,9,1366.9096,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0069_stream_123_halton_prm_domain_89.log,
70,23,123,guarded_gng,1,90,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4133,17,123,digit_permuted_halton,4000,0.75,800,3533,16,1722.067328,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0070_stream_123_guarded_gng_domain_90.log,
71,23,123,gng,2,91,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4133,17,123,digit_permuted_halton,4000,0.0,800,4567,1,1759.093376,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0071_stream_123_gng_domain_91.log,
72,24,124,gng,0,92,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4126,17,124,digit_permuted_halton,4000,0.0,800,4465,3,1853.861056,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0072_stream_124_gng_domain_92.log,
73,24,124,guarded_gng,1,93,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4126,17,124,digit_permuted_halton,4000,0.75,800,3570,10,1607.00624,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0073_stream_124_guarded_gng_domain_93.log,
74,24,124,halton_prm,2,94,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,819,17,124,digit_permuted_halton,0,0.0,800,3303,9,1427.561376,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0074_stream_124_halton_prm_domain_94.log,
75,25,125,gng,0,95,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4150,17,125,digit_permuted_halton,4000,0.0,800,4540,2,1723.309728,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0075_stream_125_gng_domain_95.log,
76,25,125,halton_prm,1,96,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,825,17,125,digit_permuted_halton,0,0.0,800,3260,8,1393.455552,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0076_stream_125_halton_prm_domain_96.log,
77,25,125,guarded_gng,2,97,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4150,17,125,digit_permuted_halton,4000,0.75,800,3577,12,1565.804832,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0077_stream_125_guarded_gng_domain_97.log,
