joint,position_min_rad,position_max_rad,velocity_min_rad_s,velocity_max_rad_s,gravity_min_nm,gravity_max_nm,current_min_raw,current_max_raw,gravity_scale_raw_per_nm,test_rmse_raw,test_mae_raw,test_r_squared,gravity_used
joint1,-0.13652429012202916,0.13499030933372946,-0.0958764908,0.0958764908,0.0,0.0,-14.0,14.0,,3.2090147732204155,2.437542385400289,0.38329226960890084,False
joint2,-0.8513593372767376,-0.5276893910328675,-0.1677838589,0.14381473620000002,-0.28156960047986956,0.21942105870031978,-105.0,47.0,176.3923830170388,10.629508473385911,8.945870372908983,0.8691348427221951,True
joint3,1.247126380550819,1.463417671642695,-0.21572210430000002,0.0958764908,-0.6990286401276079,-0.40417196970343733,-241.0,-38.0,165.54305124826425,9.674160487052326,7.610148519155223,0.9517633031642433,True
joint4,-0.10737865515220202,0.10737865515178813,-0.1198456135,0.07190736810000001,-0.002507340857160756,0.010823252050151664,-9.0,19.0,456.9966372510785,3.223789728662177,2.6185113441031596,0.5262650468228829,False
joint5,0.7547185476395284,1.0231651855195159,-0.1198456135,0.0958764908,-0.28274868471012127,-0.21089993120781966,-102.0,-8.0,139.3410417669212,5.8891801596159725,4.675669023267409,0.9557190231132585,True
joint6,-0.0843689433339172,0.07976700096984635,-0.0958764908,0.07190736810000001,-0.014057186215055138,0.009792464017444047,-8.0,17.0,162.37038695341357,2.7360791310334904,2.167424715974056,0.2629594462821212,False
