run_index,method,seed,halton_start_index,nodes,edges,components,build_time_ms,clear_valid,clear_reason,clear_blocked_nodes,clear_blocked_edges,clear_planning_time_ms,clear_exact_valid,clear_exact_checks,clear_exact_replans,clear_exact_time_ms,clear_path_nodes,dynamic_valid,dynamic_reason,dynamic_blocked_nodes,dynamic_blocked_edges,dynamic_planning_time_ms,dynamic_exact_valid,dynamic_exact_checks,dynamic_exact_replans,dynamic_exact_time_ms,dynamic_path_nodes,error
0,gng,0,17,800,4511,3,1723.24272,True,path_ready_exact_validated_preview_only,0,0,6.798592,True,245,0,5.546527999999998,10,True,path_ready_exact_validated_preview_only,11,101,16.294976,True,243,0,11.559264,11,
1,halton_prm,0,17,800,3223,16,1438.121824,True,path_ready_exact_validated_preview_only,0,0,12.154336,True,384,0,10.894879999999993,11,True,path_ready_exact_validated_preview_only,13,73,19.14832,True,414,0,14.627839999999999,10,
2,halton_prm,1,7936,800,3258,10,1386.025184,True,path_ready_exact_validated_preview_only,0,0,21.224064,True,315,0,19.470048000000006,11,True,path_ready_exact_validated_preview_only,34,163,33.962048,True,314,0,21.557599999999994,10,
3,gng,1,7936,800,4544,2,1698.237856,True,path_ready_exact_validated_preview_only,0,0,7.290208,True,293,0,5.934560000000002,11,True,path_ready_exact_validated_preview_only,23,219,15.623712,True,296,0,10.038143999999999,10,
