constant_axis,constant_mm,total,position_found,pose_found,position_percent,pose_percent,pose_near_singular,orientation_unresolved,collision_candidates_only,position_unresolved,witness_margin_below_1deg,svg
X,-500.000000,1,0,0,0.00000,0.00000,0,0,0,1,0,slices/X_minus_500mm.svg
X,-475.000000,121,0,0,0.00000,0.00000,0,0,0,121,0,slices/X_minus_475mm.svg
X,-450.000000,241,0,0,0.00000,0.00000,0,0,0,241,0,slices/X_minus_450mm.svg
X,-425.000000,349,0,0,0.00000,0.00000,0,0,0,349,0,slices/X_minus_425mm.svg
X,-400.000000,441,0,0,0.00000,0.00000,0,0,0,441,0,slices/X_minus_400mm.svg
X,-375.000000,553,45,0,8.13743,0.00000,0,45,0,508,5,slices/X_minus_375mm.svg
X,-350.000000,641,137,0,21.37285,0.00000,0,137,0,504,33,slices/X_minus_350mm.svg
X,-325.000000,725,216,0,29.79310,0.00000,0,216,0,509,28,slices/X_minus_325mm.svg
X,-300.000000,797,286,0,35.88457,0.00000,0,286,0,511,45,slices/X_minus_300mm.svg
X,-275.000000,877,348,0,39.68073,0.00000,0,348,0,529,71,slices/X_minus_275mm.svg
X,-250.000000,949,367,0,38.67229,0.00000,0,367,0,582,83,slices/X_minus_250mm.svg
X,-225.000000,997,377,0,37.81344,0.00000,0,377,0,620,94,slices/X_minus_225mm.svg
X,-200.000000,1049,391,0,37.27359,0.00000,0,391,0,658,96,slices/X_minus_200mm.svg
X,-175.000000,1101,389,0,35.33152,0.00000,0,389,36,676,108,slices/X_minus_175mm.svg
X,-150.000000,1137,402,0,35.35620,0.00000,0,402,66,669,101,slices/X_minus_150mm.svg
X,-125.000000,1185,523,0,44.13502,0.00000,0,523,52,610,174,slices/X_minus_125mm.svg
X,-100.000000,1201,613,0,51.04080,0.00000,0,613,41,547,153,slices/X_minus_100mm.svg
X,-75.000000,1225,656,12,53.55102,0.97959,0,644,41,528,139,slices/X_minus_75mm.svg
X,-50.000000,1237,702,14,56.75020,1.13177,0,688,26,509,108,slices/X_minus_50mm.svg
X,-25.000000,1245,718,26,57.67068,2.08835,0,692,29,498,96,slices/X_minus_25mm.svg
X,0.000000,1257,729,79,57.99523,6.28481,0,650,31,497,87,slices/X_plus_0mm.svg
X,25.000000,1245,745,81,59.83936,6.50602,0,664,23,477,87,slices/X_plus_25mm.svg
X,50.000000,1237,754,231,60.95392,18.67421,14,523,13,470,45,slices/X_plus_50mm.svg
X,75.000000,1225,762,234,62.20408,19.10204,6,528,0,463,37,slices/X_plus_75mm.svg
X,100.000000,1201,744,252,61.94838,20.98251,10,492,0,457,57,slices/X_plus_100mm.svg
X,125.000000,1185,723,258,61.01266,21.77215,12,465,0,462,46,slices/X_plus_125mm.svg
X,150.000000,1137,686,248,60.33421,21.81179,31,438,0,451,37,slices/X_plus_150mm.svg
X,175.000000,1101,658,258,59.76385,23.43324,56,400,0,443,27,slices/X_plus_175mm.svg
