run_index,method,seed,halton_start_index,gng_guard_fraction,reported_method,requested_node_count,anchor_node_count,prototype_budget,prototype_node_count,requested_guard_node_count,guard_node_count,fill_sample_node_count,candidate_attempts,effective_halton_start_index,effective_gng_training_samples,effective_guard_fraction,nodes,edges,components,build_time_ms,target_xyz,target_joints,obstacle_xyz,clear_valid,clear_reason,clear_blocked_nodes,clear_blocked_edges,clear_planning_time_ms,clear_exact_valid,clear_exact_checks,clear_exact_replans,clear_exact_time_ms,clear_path_nodes,dynamic_valid,dynamic_reason,dynamic_blocked_nodes,dynamic_blocked_edges,dynamic_planning_time_ms,dynamic_exact_valid,dynamic_exact_checks,dynamic_exact_replans,dynamic_exact_time_ms,dynamic_path_nodes,error,ros_domain_id,rmw_implementation,ros_localhost_only,launch_log
0,gng,9999,79182098,0.0,gng,800,2,798,798,0,0,0,4135,79182098,4000,0.0,800,4551,1,1898.227744,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]",True,path_ready_exact_validated_preview_only,0,0,4.317088,True,108,0,2.753087999999999,5,True,path_ready_exact_validated_preview_only,51,694,23.181024,True,135,0,4.699999999999998,5,,20,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_instrumentation_smoke_20260824_logs/run_0000_gng_offset_9999_domain_20.log
1,guarded_gng,9999,79182098,0.75,guarded_gng,800,2,199,199,599,599,0,4135,79182098,4000,0.75,800,3604,10,1602.479616,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]",True,path_ready_exact_validated_preview_only,0,0,2.478688,True,80,0,1.5663039999999993,3,True,path_ready_exact_validated_preview_only,55,764,15.733568,True,200,0,4.449536000000002,6,,21,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_instrumentation_smoke_20260824_logs/run_0001_guarded_gng_offset_9999_domain_21.log
2,halton_prm,9999,79182098,0.0,halton_prm,800,2,0,0,0,0,798,828,79182098,0,0.0,800,3292,11,1394.19776,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]",True,path_ready_exact_validated_preview_only,0,0,2.774528,True,82,0,1.816575999999999,4,True,path_ready_exact_validated_preview_only,46,730,22.09408,True,258,0,5.609376000000002,9,,22,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_instrumentation_smoke_20260824_logs/run_0002_halton_prm_offset_9999_domain_22.log
