run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,graph_revision,scene_id,catalog_index,scene_order_position,phase,obstacle_kind,stratum,query_id,start_joint_positions,target_position,target_source_joint_positions,requested_target_environment_node_id,requested_target_position,selected_target_environment_node_id,valid,exact_valid,reason,timeout,infrastructure_error,blocked_nodes,blocked_edges,planning_time_ms,publish_to_plan_ms,exact_checks,exact_replans,exact_time_ms,start_node_id,goal_node_id,target_distance,graph_cost,start_connection_cost,total_joint_path_cost,path_nodes,path_ids,preview_start_joints
0,0,9000,gng,0,20,1,scene_000,0,0,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""point""}",1,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000000,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000000,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.656448,8.455072002107045,168,0,3.8238719999999993,458,98,0.03331134834557508,9.7632469240619,0.890806711283678,10.654053635345578,7,"[458,270,761,387,475,48,98]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
0,0,9000,gng,0,20,1,scene_000,0,0,dynamic,point,"{""difficulty"":""low"",""obstacle_kind"":""point""}",2,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000000,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000000,True,True,path_ready_exact_validated_preview_only,False,,14,178,9.645664,12.112768003134988,178,0,3.922559999999999,458,98,0.03331134834557508,10.360759233650363,0.890806711283678,11.251565944934041,7,"[458,544,736,387,475,48,98]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
0,0,9000,gng,0,20,1,scene_001,1,1,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",3,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000010,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000010,True,True,path_ready_exact_validated_preview_only,False,,0,0,6.372672,8.343967998371227,168,0,4.563135999999999,458,98,0.03331134834557508,9.7632469240619,0.890806711283678,10.654053635345578,7,"[458,270,761,387,475,48,98]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
0,0,9000,gng,0,20,1,scene_001,1,1,dynamic,segment,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",4,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000010,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000010,True,True,path_ready_exact_validated_preview_only,False,,26,273,27.312448,30.31196800293401,184,0,6.122848000000002,458,98,0.03331134834557508,10.850356549528835,0.890806711283678,11.741163260812513,7,"[458,519,56,387,475,48,98]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
0,0,9000,gng,0,20,1,scene_002,2,2,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",5,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000020,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,2.120256,4.178751998551888,21,0,0.588544,241,4294967295,-1.0,-1.0,1.266098369971268,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
0,0,9000,gng,0,20,1,scene_002,2,2,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",6,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000020,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,8,116,5.195264,7.159103999583749,21,0,0.546816,241,4294967295,-1.0,-1.0,1.266098369971268,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
0,0,9000,gng,0,20,1,scene_003,3,3,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""segment""}",7,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000030,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,2.302208,4.308127998228883,21,0,0.5814400000000001,241,4294967295,-1.0,-1.0,1.266098369971268,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
0,0,9000,gng,0,20,1,scene_003,3,3,dynamic,segment,"{""difficulty"":""medium"",""obstacle_kind"":""segment""}",8,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000030,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,22,223,16.152224,18.198272002337035,21,0,0.576128,241,4294967295,-1.0,-1.0,1.266098369971268,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
0,0,9000,gng,0,20,1,scene_004,4,4,clear,none,"{""difficulty"":""high"",""obstacle_kind"":""point""}",9,"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]","[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]","[-0.8077631532677074,1.4835615271554126,-1.4581959606298902,0.3785138032566211,-1.4084514626399218,0.613324509477494]",1000040,"[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,1.599168,4.277759999240516,15,0,0.34815999999999997,795,4294967295,-1.0,-1.0,1.219059641420996,-1.0,0,[],"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]"
0,0,9000,gng,0,20,1,scene_004,4,4,dynamic,point,"{""difficulty"":""high"",""obstacle_kind"":""point""}",10,"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]","[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]","[-0.8077631532677074,1.4835615271554126,-1.4581959606298902,0.3785138032566211,-1.4084514626399218,0.613324509477494]",1000040,"[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]",4294967295,False,False,target_outside_reachability_intersection,False,,8,154,5.240992,7.312159999855794,15,0,0.35884799999999994,795,4294967295,-1.0,-1.0,1.219059641420996,-1.0,0,[],"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]"
