ros_stamp_s,elapsed_s,joint1_position_rad,joint1_velocity_rad_s,joint1_effort_raw,joint2_position_rad,joint2_velocity_rad_s,joint2_effort_raw,joint3_position_rad,joint3_velocity_rad_s,joint3_effort_raw,joint4_position_rad,joint4_velocity_rad_s,joint4_effort_raw,joint5_position_rad,joint5_velocity_rad_s,joint5_effort_raw,joint6_position_rad,joint6_velocity_rad_s,joint6_effort_raw
1787873184.1123674,0.19865779200335965,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-39.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.1222756,0.19908732804469764,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-42.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.133185,0.19945446401834488,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-42.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.1420436,0.19983440003124997,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-40.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.1520035,0.20018838404212147,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-37.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.1618729,0.20054249599343166,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-40.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.1723773,0.20090454403543845,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-39.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.1821868,0.20357830403372645,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-41.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.1923249,0.20402892801212147,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-37.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2019763,0.2044143039966002,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-42.0,1.3575729972785853,0.0,-163.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2124352,0.20479839999461547,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-38.0,1.3575729972785853,0.0,-162.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-2.0694557179012918e-13,0.0,0.0
1787873184.2216527,0.20518272003391758,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-39.0,1.3575729972785853,0.0,-162.0,-2.0694557179012918e-13,0.0,-2.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2314727,0.2055686080129817,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-39.0,1.3575729972785853,0.0,-162.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2414863,0.20594508800422773,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-32.0,1.3575729972785853,0.0,-162.0,-2.0694557179012918e-13,0.0,-2.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2519257,0.2063340800232254,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-40.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,-1.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2630124,0.2067608640063554,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-38.0,1.3575729972785853,0.0,-162.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2730181,0.20714550401316956,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-41.0,1.3575729972785853,0.0,-162.0,-2.0694557179012918e-13,0.0,-1.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2832997,0.20752902404638007,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-35.0,1.3575729972785853,0.0,-162.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.2923229,0.2079285440267995,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-40.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.3022003,0.20832880004309118,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-37.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.312274,0.20870352000929415,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-36.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.3225844,0.20907670399174094,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-36.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.33218,0.2094488320290111,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-40.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.3420768,0.20982352003920823,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-37.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,-2.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.3520784,0.21021868800744414,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-38.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,-1.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.3620827,0.21059360000072047,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-36.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,-2.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.372062,0.21096710400888696,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-38.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.3823261,0.21134009602246806,-2.0694557179012918e-13,0.0,-1.0,-0.6810874698214318,0.0,-38.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.3921356,0.21173001604620367,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-38.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.4019861,0.21210067201172933,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-37.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,-1.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.4114127,0.21246896003140137,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-34.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,-1.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.421384,0.21283683204092085,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-41.0,1.3575729972785853,0.0,-161.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873184.4313347,0.21320684801321477,-2.0694557179012918e-13,0.0,0.0,-0.6810874698214318,0.0,-38.0,1.3575729972785853,0.0,-162.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
