ros_stamp_s,elapsed_s,joint1_position_rad,joint1_velocity_rad_s,joint1_effort_raw,joint2_position_rad,joint2_velocity_rad_s,joint2_effort_raw,joint3_position_rad,joint3_velocity_rad_s,joint3_effort_raw,joint4_position_rad,joint4_velocity_rad_s,joint4_effort_raw,joint5_position_rad,joint5_velocity_rad_s,joint5_effort_raw,joint6_position_rad,joint6_velocity_rad_s,joint6_effort_raw
1787873058.6113656,0.19396908802445978,-2.0694557179012918e-13,0.0,0.0,-0.6841554313972029,0.0,-15.0,1.3468351317633864,0.0,-70.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-81.0,-0.001533980788092748,0.0,0.0
1787873058.62122,0.19436979200690985,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-15.0,1.3468351317633864,0.0,-71.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-80.0,-0.001533980788092748,0.0,0.0
1787873058.6314244,0.19475616002455354,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-11.0,1.3468351317633864,0.0,-72.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-80.0,-0.001533980788092748,0.0,0.0
1787873058.6413648,0.1951097280252725,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-11.0,1.3468351317633864,0.0,-71.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873058.6513522,0.1954602560144849,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-14.0,1.3468351317633864,0.0,-73.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873058.661197,0.1958083520294167,-2.0694557179012918e-13,0.0,0.0,-0.6841554313972029,0.0,-14.0,1.3483691125512713,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873058.6712523,0.19616083201253787,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-9.0,1.3468351317633864,0.0,-70.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873058.6812112,0.19849862402770668,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-9.0,1.3483691125512713,0.0,-71.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873058.6911576,0.1989321280270815,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-8.0,1.3483691125512713,0.0,-71.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-79.0,-0.001533980788092748,0.0,0.0
1787873058.701162,0.19932438398245722,-2.0694557179012918e-13,0.0,0.0,-0.6826214506093171,0.0,-14.0,1.3483691125512713,0.0,-71.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-80.0,-0.001533980788092748,0.0,0.0
