ros_stamp_s,elapsed_s,joint1_position_rad,joint1_velocity_rad_s,joint1_effort_raw,joint2_position_rad,joint2_velocity_rad_s,joint2_effort_raw,joint3_position_rad,joint3_velocity_rad_s,joint3_effort_raw,joint4_position_rad,joint4_velocity_rad_s,joint4_effort_raw,joint5_position_rad,joint5_velocity_rad_s,joint5_effort_raw,joint6_position_rad,joint6_velocity_rad_s,joint6_effort_raw
1787873632.7142463,0.20254492800449952,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,-0.0239691227,-28.0,1.3545050357028146,-0.0239691227,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.721995,0.20307571202283725,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,-0.0239691227,-27.0,1.3545050357028146,-0.0239691227,-151.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.73199,0.20347587199648842,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-30.0,1.3545050357028146,-0.0239691227,-150.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.7420537,0.20384188799653202,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-34.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.7521856,0.20420556800672784,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-37.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.7620938,0.20456924801692367,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-38.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.772,0.204928895982448,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.7819276,0.20529859198722988,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.7919016,0.20566432003397495,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.8018477,0.2060231679934077,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.8118598,0.2064025279833004,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.8219962,0.20675667200703174,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.8321226,0.20710777601925656,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-42.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.8420458,0.2074629440321587,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.8519719,0.2078173760091886,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.861886,0.20817820803495124,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-41.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.8718727,0.2085423999815248,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-39.0,1.3545050357028146,0.0,-149.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.881963,0.20889760000864044,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-38.0,1.3545050357028146,0.0,-148.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.891865,0.20925027201883495,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-38.0,1.3545050357028146,0.0,-147.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.904801,0.20963497599586844,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-38.0,1.3545050357028146,0.0,-147.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.9123576,0.20998688001418486,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-38.0,1.3545050357028146,0.0,-147.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
1787873632.9219387,0.21037020802032202,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-38.0,1.3545050357028146,0.0,-147.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-91.0,-0.001533980788092748,0.0,0.0
