ros_stamp_s,elapsed_s,joint1_position_rad,joint1_velocity_rad_s,joint1_effort_raw,joint2_position_rad,joint2_velocity_rad_s,joint2_effort_raw,joint3_position_rad,joint3_velocity_rad_s,joint3_effort_raw,joint4_position_rad,joint4_velocity_rad_s,joint4_effort_raw,joint5_position_rad,joint5_velocity_rad_s,joint5_effort_raw,joint6_position_rad,joint6_velocity_rad_s,joint6_effort_raw
1787874767.6512213,0.2774462400120683,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-12.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.6613379,0.2778432960039936,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-10.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.6713662,0.2781956800026819,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-13.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.6813142,0.27856230398174375,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-10.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.691371,0.2789111040183343,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-15.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.7014725,0.2792570239980705,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-11.0,1.3575729972785853,0.0,-70.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.7112427,0.2814884799881838,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-14.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.7212892,0.2819266559672542,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-14.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.7313046,0.2823199999984354,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-16.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.741498,0.28272422397276387,-2.0694557179012918e-13,0.0,0.0,-0.6872233929729741,0.0,-13.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.7515342,0.2831066239741631,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-16.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.7613623,0.28348511998774484,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-11.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
1787874767.7735343,0.2838590079918504,-2.0694557179012918e-13,0.0,0.0,-0.6856894121850887,0.0,-13.0,1.3575729972785853,0.0,-69.0,-2.0694557179012918e-13,0.0,0.0,0.8897088569734652,0.0,-44.0,-0.001533980788092748,0.0,0.0
